delta_time,delta_radius,E_pro,E_del,R_prompt,R_delayed,,,#NOME?
73728,840.9314575,4.849380493,2.246309519,16612.33203,16187.39355,,,
24576,708.6643066,4.675722122,2.258783102,15912.26855,15429.35742,,,
237568,511.9934387,1.846682429,2.241408348,4042.706055,4074.703125,,,
12288,46.48314285,1.718878388,2.207354069,10206.01953,10237.2207,,,
45056,168.8908844,5.238051891,2.251050234,15164.68652,15307.02637,,,
380928,322.7424011,2.845855951,2.232284069,16256.80566,16323.7959,,,
520192,317.7379761,5.000200272,2.335971594,11264.88672,10998.34473,,,
143360,117.228653,1.613035679,2.230133295,11803.1875,11732.42188,,,
90112,93.80722046,4.060452938,2.275028706,17237.24219,17294.21875,,,
188416,476.6427612,3.170230865,2.28997612,9053.066406,9256.762695,,,
696320,701.3053589,3.093856335,2.198432207,12647.72363,13282.29785,,,
122880,425.719574,1.358811021,2.207255125,4424.263184,4762.624023,,,
73728,245.2349548,3.760147333,2.31161952,16405.45898,16449.1582,,,
335872,204.2766571,3.012208223,2.231514692,12328.16113,12426.87793,,,
253952,461.082428,3.322164774,2.265897036,17176.64063,16967.25977,,,
49152,244.1133423,3.278980732,2.279567003,11634.99707,11630.86914,,,
352256,144.6491547,2.307685137,2.164172888,9127.50293,9147.523438,,,
57344,478.9942932,4.034539223,2.225631952,15874.16406,15929.52441,,,
8192,403.1246948,2.782367706,2.290801525,7862.172852,7547.979004,,,
204800,241.2206879,3.501743317,2.25923872,11233.80371,11288.41309,,,
8192,210.2181549,1.43441546,2.170255899,14004.87988,13913.64063,,,
24576,222.539856,2.427548409,2.273777008,17400,17352.63281,,,
188416,379.4234009,5.292141438,2.228741884,13707.01465,13779.2666,,,
65536,140.0130005,5.727277756,2.242498636,11030.54395,11150.9541,,,
393216,385.8238831,4.038459301,2.396240711,17350.49219,17400,,,
450560,372.0803528,6.815365791,2.25846982,17400,17400,,,
8192,1607.236328,5.449954987,2.194374561,11088.43555,10315.36328,,,
90112,680.8080444,2.336255312,2.259305716,16927.04102,16299.35742,,,
229376,169.159256,3.702668428,2.271891356,15001.22266,15029.7168,,,
466944,270.0214844,3.271924734,2.272004604,15251.29883,15498.61914,,,
114688,259.9293213,2.65396595,2.311009884,11576.24805,11712.26367,,,
57344,788.1201782,2.219021559,2.240129709,15171.5625,15342.98047,,,
229376,147.4329224,1.24715507,2.266380787,16966.60742,16849.99219,,,
81920,464.3946533,4.367260933,2.2672894,15829.50391,15945.5625,,,
180224,235.934906,2.301100254,2.301631212,17119.33008,17045.37305,,,
557056,258.3648071,2.144628048,2.293441772,15557.09473,15604.85645,,,
221184,362.8356323,3.309166193,2.219393969,14011.10449,14219.16797,,,
458752,231.0372314,6.41617775,2.211493492,15874.69629,16028.24805,,,
8192,512.1635132,2.201953888,2.255460978,12323.27637,12397.76367,,,
16384,527.9318848,4.013569355,2.213498116,15703.60059,15860.81836,,,
24576,309.4381714,3.590617895,2.265018463,14685.27637,14687.04883,,,
114688,736.0794678,0.947220206,2.221430779,16359.52637,16012.64063,,,
